Pokemon No.,Name,Type 1,appear_rate,l_evening,l_morn,l_night,population_density
20,Raticate,Normal,0.41100000000000003,0.3024390243902439,0.3056910569105691,0.39186991869918697,1178.2024379432262
21,Spearow,Normal,4.112333333333333,0.2880625598467922,0.3100861793807852,0.4018512607724226,1375.5505895515005
22,Fearow,Normal,0.131,0.2549019607843137,0.2647058823529412,0.4803921568627451,1380.787228033078
23,Ekans,Poison,1.3823333333333334,0.25168815224063845,0.24923265807243708,0.4990791896869245,1373.1200414369384
24,Arbok,Poison,0.04866666666666666,0.3148148148148148,0.1111111111111111,0.5740740740740741,1385.8553825068498
25,Pikachu,Electric,0.172,0.3271889400921659,0.271889400921659,0.4009216589861751,1206.0761979961237
26,Raichu,Electric,0.0033333333333333327,0.5,0.0,0.5,799.9018600000002
27,Sandshrew,Ground,0.675,0.2792297111416781,0.2310866574965612,0.4896836313617607,1431.8570328483927
28,Sandslash,Ground,0.01866666666666666,0.2916666666666667,0.25,0.4583333333333333,1618.8352329285713
29,Nidoran♀,Poison,1.2656666666666667,0.28532608695652173,0.29293478260869565,0.4217391304347826,1323.9851924356037
30,Nidorina,Poison,0.06833333333333333,0.3142857142857143,0.3238095238095238,0.3619047619047619,1294.533551975609
31,Nidoqueen,Poison,0.005333333333333333,0.75,0.125,0.125,765.164598875
32,Nidoran♂,Poison,1.3633333333333335,0.261841405002661,0.30548163916977117,0.4326769558275679,1575.5890388594053
33,Nidorino,Poison,0.09066666666666666,0.24,0.384,0.376,1308.7623651470585
34,Nidoking,Poison,0.005666666666666665,0.5,0.2,0.3,2028.175760235294
35,Clefairy,Fairy,1.1883333333333332,0.22240709927897948,0.3355518580144204,0.4420410427066001,1400.8001311464282
36,Clefable,Fairy,0.021333333333333333,0.25,0.25,0.5,1560.3682414062498
37,Vulpix,Fire,0.18933333333333333,0.3247863247863248,0.2863247863247863,0.3888888888888889,1307.5626044137325
38,Ninetales,Fire,0.0026666666666666666,0.5,0.25,0.25,1043.65864375
39,Jigglypuff,Normal,0.37333333333333335,0.3065326633165829,0.2914572864321608,0.4020100502512563,1236.989799861604
40,Wigglytuff,Normal,0.008333333333333333,0.3,0.4,0.3,1136.3365738399998
41,Zubat,Poison,3.3810000000000002,0.24578000370988684,0.34093860137265813,0.413281394917455,1530.462148110871
42,Golbat,Poison,0.345,0.24358974358974358,0.30036630036630035,0.45604395604395603,1596.2014904888829
43,Oddish,Grass,1.2009999999999998,0.27744630071599047,0.30250596658711215,0.4200477326968974,1179.9654028800992
44,Gloom,Grass,0.07633333333333334,0.29411764705882354,0.30392156862745096,0.4019607843137255,1156.2844838209612
45,Vileplume,Grass,0.005333333333333333,0.16666666666666666,0.5,0.3333333333333333,399.5175486874999
46,Paras,Bug,2.403,0.2804878048780488,0.2714196372732958,0.4480925578486554,1089.1885567852646
47,Parasect,Bug,0.07566666666666666,0.27450980392156865,0.4215686274509804,0.30392156862745096,1106.1017921189423
48,Venonat,Bug,2.775,0.29348112958564265,0.3045658485088414,0.40195302190551596,1001.7899779856975
49,Venomoth,Bug,0.08366666666666668,0.33076923076923076,0.2846153846153846,0.38461538461538464,936.6210415498007
50,Diglett,Ground,0.2403333333333333,0.3333333333333333,0.15942028985507245,0.5072463768115942,1435.1069922649096
51,Dugtrio,Ground,0.008333333333333333,0.45454545454545453,0.09090909090909091,0.45454545454545453,992.2934479600001
52,Meowth,Normal,0.5856666666666667,0.27251461988304093,0.30526315789473685,0.4222222222222222,1373.4467998468926
53,Persian,Normal,0.009666666666666669,0.20689655172413793,0.10344827586206896,0.6896551724137931,1274.4407208965517
54,Psyduck,Water,1.3166666666666669,0.3141780499293453,0.31323598681111636,0.3725859632595384,1760.1591216860695
55,Golduck,Water,0.04366666666666666,0.25316455696202533,0.3291139240506329,0.4177215189873418,1537.0645117404574
56,Mankey,Fighting,0.6373333333333333,0.26453488372093026,0.23401162790697674,0.501453488372093,1204.2802556710194
57,Primeape,Fighting,0.02,0.2631578947368421,0.2631578947368421,0.47368421052631576,1176.2930267833337
58,Growlithe,Fire,0.5833333333333334,0.2870662460567823,0.18138801261829654,0.5315457413249212,1364.1925810862792
59,Arcanine,Fire,0.010666666666666666,0.2727272727272727,0.09090909090909091,0.6363636363636364,1296.3093003125002
60,Poliwag,Water,1.2990000000000002,0.27790751985053713,0.30639887902849133,0.41569360112097153,1946.878519943793
61,Poliwhirl,Water,0.08433333333333333,0.2796610169491525,0.3389830508474576,0.3813559322033898,2136.223163893281
62,Poliwrath,Water,0.004,0.3333333333333333,0.16666666666666666,0.5,206.84161808333332
63,Abra,Psychic,0.4533333333333334,0.31703204047217537,0.25463743676222594,0.42833052276559863,1065.256831019115
64,Kadabra,Psychic,0.035666666666666666,0.2916666666666667,0.25,0.4583333333333333,727.7591785233647
65,Alakazam,Psychic,0.0023333333333333327,0.3333333333333333,0.0,0.6666666666666666,2423.0089988571426
66,Machop,Fighting,0.188,0.24812030075187969,0.3082706766917293,0.44360902255639095,1989.0965707570947
67,Machoke,Fighting,0.012666666666666666,0.20833333333333334,0.4583333333333333,0.3333333333333333,1594.2383672631581
68,Machamp,Fighting,,,,,
69,Bellsprout,Grass,1.156,0.2573134328358209,0.3092537313432836,0.43343283582089553,1291.379697327855
70,Weepinbell,Grass,0.068,0.3173076923076923,0.33653846153846156,0.34615384615384615,1471.740673671568
71,Victreebel,Grass,0.006333333333333333,0.21052631578947367,0.10526315789473684,0.6842105263157895,1364.5241092105261
72,Tentacool,Water,0.3843333333333333,0.27992957746478875,0.3204225352112676,0.3996478873239437,1653.1173450867248
73,Tentacruel,Water,0.045,0.30666666666666664,0.38666666666666666,0.30666666666666664,1740.6031230518518
74,Geodude,Rock,0.8233333333333334,0.30434782608695654,0.22584541062801933,0.46980676328502413,1336.724997527934
75,Graveler,Rock,0.052666666666666674,0.36363636363636365,0.23636363636363636,0.4,1507.6321905189877
76,Golem,Rock,0.006666666666666667,0.25,0.25,0.5,794.4678946500001
77,Ponyta,Fire,0.4033333333333333,0.30536130536130535,0.2400932400932401,0.45454545454545453,1182.6184894190076
78,Rapidash,Fire,0.013666666666666669,0.3888888888888889,0.1111111111111111,0.5,1138.6633614390246
79,Slowpoke,Water,0.608,0.296794208893485,0.3185108583247156,0.3846949327817994,1861.4769924544964
80,Slowbro,Water,0.019666666666666662,0.28125,0.46875,0.25,1895.4286675254236
81,Magnemite,Electric,0.3633333333333333,0.3070739549839228,0.3327974276527331,0.36012861736334406,1398.6490753733892
82,Magneton,Electric,0.013333333333333334,0.2962962962962963,0.3333333333333333,0.37037037037037035,1887.7965094000003
83,Farfetch'd,Normal,0.0003333333333333333,0.0,0.0,1.0,734.7536
84,Doduo,Normal,0.18366666666666664,0.29957805907172996,0.27848101265822783,0.4219409282700422,1717.1252949981852
85,Dodrio,Normal,0.10066666666666664,0.13793103448275862,0.30344827586206896,0.5586206896551724,3024.9981361887394
86,Seel,Water,0.23066666666666666,0.290167865707434,0.30935251798561153,0.40047961630695444,1607.661874696531
87,Dewgong,Water,0.00933333333333333,0.47058823529411764,0.17647058823529413,0.35294117647058826,809.8814617857144
88,Grimer,Poison,0.046,0.36619718309859156,0.2676056338028169,0.36619718309859156,1792.560455789856
89,Muk,Poison,0.0016666666666666668,0.2,0.4,0.4,1357.1250440000001
90,Shellder,Water,0.448,0.23890339425587467,0.31592689295039167,0.4451697127937337,1405.7676475327328
91,Cloyster,Water,0.009666666666666669,0.23529411764705882,0.11764705882352941,0.6470588235294118,1486.310344724138
92,Gastly,Ghost,0.8063333333333333,0.2694610778443114,0.3375748502994012,0.3929640718562874,1643.6531367941325
93,Haunter,Ghost,0.04833333333333333,0.22727272727272727,0.32954545454545453,0.4431818181818182,1523.9834575862058
94,Gengar,Ghost,0.004,0.3333333333333333,0.2222222222222222,0.4444444444444444,911.6041965000001
95,Onix,Rock,0.06833333333333333,0.31868131868131866,0.21978021978021978,0.46153846153846156,1894.508590117075
96,Drowzee,Psychic,3.501666666666667,0.2832435960189264,0.3297438407570566,0.38701256322401695,1607.4823398563874
97,Hypno,Psychic,0.106,0.2789473684210526,0.35789473684210527,0.3631578947368421,1643.5647261918218
98,Krabby,Water,1.546,0.26699226699226697,0.33618233618233617,0.3968253968253968,1763.42222917701
99,Kingler,Water,0.051,0.313953488372093,0.313953488372093,0.37209302325581395,1696.6106706993462
100,Voltorb,Electric,0.3576666666666667,0.2923076923076923,0.38803418803418804,0.31965811965811963,1289.7895731602946
101,Electrode,Electric,0.01133333333333333,0.4,0.3,0.3,983.5847224117647
102,Exeggcute,Grass,0.5953333333333333,0.29878869448183043,0.30955585464333785,0.3916554508748318,1507.408945138857
103,Exeggutor,Grass,0.009666666666666669,0.2857142857142857,0.21428571428571427,0.5,1481.7629871034483
104,Cubone,Ground,0.31,0.24855491329479767,0.23410404624277456,0.5173410404624278,1443.8394686602096
105,Marowak,Ground,0.009666666666666669,0.4375,0.0625,0.5,1224.8607411724138
106,Hitmonlee,Fighting,0.01866666666666666,0.40625,0.1875,0.40625,1497.684249053572
107,Hitmonchan,Fighting,0.013333333333333334,0.17647058823529413,0.35294117647058826,0.47058823529411764,933.8520980500001
108,Lickitung,Normal,0.015333333333333334,0.2,0.24,0.56,1063.625441543478
109,Koffing,Poison,0.2013333333333333,0.3181818181818182,0.33636363636363636,0.34545454545454546,1308.8465336291395
110,Weezing,Poison,0.005333333333333333,0.3,0.4,0.3,1187.0012887500002
111,Rhyhorn,Ground,0.3943333333333333,0.2505399568034557,0.23974082073434125,0.509719222462203,1344.382373231611
112,Rhydon,Ground,0.014333333333333332,0.2857142857142857,0.3333333333333333,0.38095238095238093,1903.292261139535
113,Chansey,Normal,0.007333333333333333,0.42857142857142855,0.0,0.5714285714285714,785.718606
114,Tangela,Grass,0.11233333333333334,0.2974683544303797,0.3227848101265823,0.379746835443038,2202.526873172106
115,Kangaskhan,Normal,0.01133333333333333,0.38235294117647056,0.3235294117647059,0.29411764705882354,753.350075117647
116,Horsea,Water,0.7656666666666667,0.2855973813420622,0.3019639934533552,0.41243862520458263,1788.1744674323104
117,Seadra,Water,0.028,0.28888888888888886,0.37777777777777777,0.3333333333333333,1734.3668219166666
118,Goldeen,Water,1.2806666666666666,0.2739463601532567,0.3232758620689655,0.4027777777777778,1931.5065943805253
119,Seaking,Water,0.050666666666666665,0.3780487804878049,0.34146341463414637,0.2804878048780488,1761.23253
120,Staryu,Water,1.185,0.2906378600823045,0.2962962962962963,0.4130658436213992,2005.17670118565
121,Starmie,Water,0.01933333333333333,0.2682926829268293,0.2926829268292683,0.43902439024390244,1846.9845429137927
122,Mr. Mime,Psychic,0.115,0.285140562248996,0.37751004016064255,0.3373493975903614,1311.973615397101
123,Scyther,Bug,0.10233333333333333,0.3409090909090909,0.20454545454545456,0.45454545454545453,1515.5178208859907
124,Jynx,Ice,0.25166666666666665,0.2748267898383372,0.3695150115473441,0.3556581986143187,1861.9075672463534
125,Electabuzz,Electric,0.043333333333333335,0.2631578947368421,0.42105263157894735,0.3157894736842105,1759.9930742230765
126,Magmar,Fire,0.06733333333333333,0.2857142857142857,0.1326530612244898,0.5816326530612245,2504.6947760891057
127,Pinsir,Bug,0.46799999999999997,0.23460410557184752,0.30498533724340177,0.4604105571847507,2449.2823268005736
128,Tauros,Normal,0.22333333333333333,0.34299516908212563,0.2463768115942029,0.4106280193236715,1596.9037890701513
129,Magikarp,Water,2.6460000000000004,0.30760261194029853,0.30806902985074625,0.3843283582089552,1813.984295398063
130,Gyarados,Water,0.0033333333333333327,0.5,0.0,0.5,3563.6877946
131,Lapras,Water,0.006666666666666667,0.16666666666666666,0.4166666666666667,0.4166666666666667,1151.8830523999998
132,Ditto,Normal,,,,,
133,Eevee,Normal,3.913333333333333,0.28240084985835695,0.30417847025495753,0.41342067988668557,986.3981212085168
134,Vaporeon,Water,0.008666666666666666,0.36363636363636365,0.36363636363636365,0.2727272727272727,1750.3159623076922
135,Jolteon,Electric,0.0033333333333333327,0.0,0.1,0.9,1299.1775694000003
136,Flareon,Fire,0.006,0.5,0.25,0.25,1272.0669822222221
137,Porygon,Normal,0.004666666666666665,0.125,0.75,0.125,1523.155737142857
138,Omanyte,Rock,0.08233333333333334,0.29357798165137616,0.3394495412844037,0.3669724770642202,1856.450015562752
139,Omastar,Rock,0.0023333333333333327,0.14285714285714285,0.0,0.8571428571428571,2587.5707242857143
140,Kabuto,Rock,0.08733333333333332,0.31932773109243695,0.29411764705882354,0.3865546218487395,2720.762305660307
141,Kabutops,Rock,0.0016666666666666668,0.2,0.4,0.4,1731.6440699999998
142,Aerodactyl,Rock,0.01133333333333333,0.23529411764705882,0.47058823529411764,0.29411764705882354,2452.4163485294125
143,Snorlax,Normal,0.02433333333333333,0.28,0.36,0.36,1381.4073068493153
147,Dratini,Dragon,0.19766666666666666,0.3546325878594249,0.3035143769968051,0.34185303514376997,1726.7392833844876
148,Dragonair,Dragon,0.015666666666666666,0.37037037037037035,0.2222222222222222,0.4074074074074074,1282.6439510851064
149,Dragonite,Dragon,0.008,0.46153846153846156,0.23076923076923078,0.3076923076923077,1396.4113975000002
